ID,IUPAC,SMILES,IE(%),Category,Concentration_mM,BaseMaterial,Temperature(K),Method,Aggressive Component,MolWt,Scaffold,Scaffold_Freq
254,ZGD(12carbons),CCCCCCCCCCCCOP(=O)([O-])Oc1ccc(/C=N/CC[N+](C)(C)CCCCCCCCCCCC)cc1OC.[Br-].[Na+],90.85,ionic surfactant,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,741.809,c1ccccc1,28
210,Potassium2-(((E)-3-phenylallylidene)amino)acetate(CGSB),O=C([O-])C/N=C/C=C/c1ccccc1.[K+],97.3,Schiff bases,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,227.304,c1ccccc1,28
228,3-[3-(4-Methoxy-phenyl)-allylideneamino]-benzoicacid(TMCAMB),C=C(/C=C(C)/N=C/C=C/c1ccc(OC)cc1)C(=O)O,97.07,Schiff bases,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,271.316,c1ccccc1,28
92,4-Ethoxybenzaldehydethiosemicarbazone,CCOc1ccc(/C=N/NC(N)=S)cc1,81.0,Thiourea,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,223.301,c1ccccc1,28
10,3bromo-4mothoxybenzaldehyde,COc1ccc(C=O)cc1Br,81.9,Anisole,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,215.046,c1ccccc1,28
234,"N-(2-(2-(dimethyl(2-(((1E2E)-3-phenylallylidene)amino)ethyl)ammonio)acetoxy)ethyl-N,Ndimethyldodecan-1-aminiumbromidechloride",CCCCCCCCCCCC[N+](C)(C)CCOC(=O)C[N+](C)(C)CC/N=C/C=C/c1ccccc1.[Br-].[Cl-],94.99,ionic surfactant,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,617.157,c1ccccc1,28
93,4-Hydroxybenzaldehydethiosemicarbazone,NC(=S)N/N=C/c1ccc(O)cc1,89.0,Thiourea,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,195.247,c1ccccc1,28
150,4-(2-aminothiazole-4-yl)phenol(ATP),CN=C(C)S/C=C(\C)c1ccc(O)cc1,91.6,Thiazoles,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,221.325,c1ccccc1,28
148,[(3-methoxyphenyl)(methylamino)methyl]phosphonate(3-EHMAP),CCOP(=O)(O)C(NC)c1cccc(OC)c1,86.64,Phosphonate esters,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,259.242,c1ccccc1,28
9,4-methoxy-N-methylaniline,CNc1ccc(OC)cc1,82.7,Anisole,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,137.182,c1ccccc1,28
253,ZGO(8carbons),CCCCCCCCOP(=O)([O-])Oc1ccc(/C=N/CC[N+](C)(C)CCCCCCCC)cc1OC.[Br-].[Na+],90.09,ionic surfactant,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,629.593,c1ccccc1,28
255,ZGH(16carbons),CCCCCCCCCCCCCCCCOP(=O)([O-])Oc1ccc(/C=N/CC[N+](C)(C)CCCCCCCCCCCCCCCC)cc1OC.[Br-].[Na+],92.27,ionic surfactant,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,854.025,c1ccccc1,28
235,"(E)-N-(2-(2-((2((4-methoxybenzylidene)amino)ethyl)dimethylammonio)acetoxy)ethyl-N,Ndimethyldodecan-1-aminiumbromidechloride",CCCCCCCCCCCC[N+](C)(C)CCOC(=O)C[N+](C)(C)CC/N=C/c1ccc(OC)cc1.[Br-].[Cl-],95.44,ionic surfactant,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,621.145,c1ccccc1,28
251,2-Bromoisonitrosoacetanilide,COc1ccccc1NC(=O)/C=N\O,72.8,Amine,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,194.19,c1ccccc1,28
187,O-Toluidine,Cc1ccccc1N,43.13,Amine,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,107.156,c1ccccc1,28
252,2-Methoxyisonitrosoacetanilide,O=C(/C=N\O)Nc1ccccc1Br,75.1,Amine,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,243.06,c1ccccc1,28
274,(2E)-3-(4-methylphenyl)prop-2-enal(MeCA),Cc1ccc(/C=C/C=O)cc1,73.0,Aldehydes,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,146.189,c1ccccc1,28
184,2-Methoxyaniline,COc1ccccc1N,56.79,Amine,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,123.155,c1ccccc1,28
183,2-Fluoroaniline,Nc1ccccc1F,57.38,Amine,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,111.119,c1ccccc1,28
185,2-Ethylaniline,CCOc1ccccc1N,55.26,Amine,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,137.182,c1ccccc1,28
250,Isonitrosoacetanilide,O=C(/C=N\O)Nc1ccccc1,59.5,Amine,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,164.164,c1ccccc1,28
275,(2E)-3-(4-methoxyphenyl)prop-2-enal(MCA),COc1ccc(/C=C/C=O)cc1,86.0,Aldehydes,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,162.188,c1ccccc1,28
8,4-methoxy-2-nitroaniline,COc1ccc(N)c([N+](=O)[O-])c1,86.1,Anisole,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,168.152,c1ccccc1,28
