id,SMILES,qed,logp,molwt,HBA,HBD,TPSA,NumRotBonds,IE,Concentration_mM,N_count,S_count,O_count,P_count,dipole_moment,HOMO,LUMO,HOMO-LUMO Gap,Ionization Potential,Electron Affinity,Electronegativity,Hardness,Softness,Electrophilicity,Electron Donor Capacity,Electron Acceptor Capacity,vdw_volume,vdw_surface_area,LD50_log10_predicted,LD50_predicted,GHS_category,Skeleton_SMILES
632,CCCCCCCCCCCCCCCCC1=NCCN1CCNCCNCC[N+](CCC(=O)c1ccccc1)(CCC(=O)c1ccccc1)C(Cl)c1ccccc1,0.020655321,11.0515,813.636,6,2,73.8,34,0.996,0.48,5,0,2,0,9.0393,-0.06002,-0.04127,0.01875,0.06002,0.04127,0.050645,0.009375,106.6666667,0.136795521,0.192128021,0.090838021,7993.341,8004.023923,2.493314886,311.3973308,4,O=C(CC[N+](CCNCCNCCN1C=NCC1)(CCC(=O)c1ccccc1)Cc1ccccc1)c1ccccc1
704,CCCCCCCCCCCCCCCCC1=NCCN1CCNCCNCC[N+](CCC(=O)c1ccccc1)(CCC(=O)c1ccccc1)C(Cl)c1ccccc1,0.020655321,11.0515,813.636,6,2,73.8,34,0.994,0.18,5,0,2,0,9.0393,-0.06002,-0.04127,0.01875,0.06002,0.04127,0.050645,0.009375,106.6666667,0.136795521,0.192128021,0.090838021,7993.341,8004.023923,2.493314886,311.3973308,4,O=C(CC[N+](CCNCCNCCN1C=NCC1)(CCC(=O)c1ccccc1)Cc1ccccc1)c1ccccc1
756,c1ccc2c(c1)OCCOCCOCCOCCOCCOc1ccccc1-c1nnc-2s1,0.489912417,3.7097,472.563,9,0,81.16,0,0.993,0.1,2,1,6,0,6.8565,-0.21405,-0.04212,0.17193,0.21405,0.04212,0.128085,0.085965,11.63264119,0.095421202,0.266488702,0.010318702,3833.293,3826.954926,3.026623015,1063.219701,4,c1ccc2c(c1)OCCOCCOCCOCCOCCOc1ccccc1-c1nnc-2s1
709,CCCCCCCCCCCCCCCCC1=NCCN1CCNCCNCC[N+](CCC(=O)c1ccccc1)(CCC(=O)c1ccccc1)C(Cl)c1ccccc1,0.020655321,11.0515,813.636,6,2,73.8,34,0.993,0.12,5,0,2,0,9.0393,-0.06002,-0.04127,0.01875,0.06002,0.04127,0.050645,0.009375,106.6666667,0.136795521,0.192128021,0.090838021,7993.341,8004.023923,2.493314886,311.3973308,4,O=C(CC[N+](CCNCCNCCN1C=NCC1)(CCC(=O)c1ccccc1)Cc1ccccc1)c1ccccc1
755,c1ccc2c(c1)OCCOCCOCCOCCOc1ccccc1-c1nnc-2s1,0.540671571,3.6931,428.51,8,0,71.93,0,0.992,0.1,2,1,5,0,4.953,-0.23141,-0.05163,0.17978,0.23141,0.05163,0.14152,0.08989,11.12470798,0.111402327,0.297867327,0.014827327,3802.948,3807.173256,3.026623015,1063.219701,4,c1ccc2c(c1)OCCOCCOCCOCCOc1ccccc1-c1nnc-2s1
979,c1ccc2c(c1)OCCOCCOCCOCCOCCOc1ccccc1-c1nnc-2s1,0.489912417,3.7097,472.563,9,0,81.16,0,0.992,0.05,2,1,6,0,6.8565,-0.21405,-0.04212,0.17193,0.21405,0.04212,0.128085,0.085965,11.63264119,0.095421202,0.266488702,0.010318702,3833.293,3826.954926,3.026623015,1063.219701,4,c1ccc2c(c1)OCCOCCOCCOCCOCCOc1ccccc1-c1nnc-2s1
963,CCCCCCCCCCCCCCCCC1=NCCN1CCNCCNCC[N+](CCC(=O)c1ccccc1)(CCC(=O)c1ccccc1)C(Cl)c1ccccc1,0.020655321,11.0515,813.636,6,2,73.8,34,0.992,0.09,5,0,2,0,9.0393,-0.06002,-0.04127,0.01875,0.06002,0.04127,0.050645,0.009375,106.6666667,0.136795521,0.192128021,0.090838021,7993.341,8004.023923,2.493314886,311.3973308,4,O=C(CC[N+](CCNCCNCCN1C=NCC1)(CCC(=O)c1ccccc1)Cc1ccccc1)c1ccccc1
1101,c1ccc2c(c1)OCCOCCOCCOCCOCCOc1ccccc1-c1nnc-2s1,0.489912417,3.7097,472.563,9,0,81.16,0,0.991,0.01,2,1,6,0,6.8565,-0.21405,-0.04212,0.17193,0.21405,0.04212,0.128085,0.085965,11.63264119,0.095421202,0.266488702,0.010318702,3833.293,3826.954926,3.026623015,1063.219701,4,c1ccc2c(c1)OCCOCCOCCOCCOCCOc1ccccc1-c1nnc-2s1
754,c1ccc2c(c1)OCCOCCOCCOc1ccccc1-c1nnc-2s1,0.589240935,3.6765,384.457,7,0,62.7,0,0.99,0.1,2,1,4,0,2.358,-0.23168,-0.04916,0.18252,0.23168,0.04916,0.14042,0.09126,10.95770327,0.108030771,0.294080771,0.013240771,3408.853,3416.850468,3.026623015,1063.219701,4,c1ccc2c(c1)OCCOCCOCCOc1ccccc1-c1nnc-2s1
363,O=C(Cn1cncn1)N1CCC(c2ccc(Cl)cc2Cl)=N1,0.86956498,2.2215,324.171,5,0,63.38,3,0.99,1.0,5,0,1,0,,,,,,,,,,,,,2192.308,2192.3083,2.87943341,757.5885633,4,O=C(Cn1cncn1)N1CCC(c2ccccc2)=N1
