CID,SMILES,Predicted_IE,repeat,3D_conformer,MolWt,LogP,TPSA,HBA,HBD,NumAtoms,NumRings,Formula,Predicted_LD50_log10,Predicted_LD50
134246213,CCCCCC1CCC(CC1)CCC2CCC(CC2)CC(COCCO)COC(=O)C(=C)C,0.99474245,0,,464.7310000000003,7.094200000000009,55.76,4,1,33,2,C29H52O4,3.634638454893869,4311.599917019209
134246219,CCCCCC1CCC(CC1)CCCOC2CCC(CC2)CC(CCO)CCOC(=O)C(=C)C,0.9802845,0,,478.7580000000004,7.626800000000009,55.76,4,1,34,2,C30H54O4,3.619302821007692,4162.007140874503
134300143,CCC(C)C(=O)CCCCC(=O)OCCCCOC(C)CC,0.9828028,0,Conformer3D_COMPOUND_CID_134300143.sdf,314.466,4.300500000000004,52.60000000000001,4,0,22,0,C18H34O4,4.035012472358666,10839.580434044452
134314439,CC(C)C(=O)C1CCC(CC1)OC(C)(C)C,0.98178047,0,Conformer3D_COMPOUND_CID_134314439.sdf,226.36,3.5854000000000026,26.3,2,0,16,1,C14H26O2,3.646514888380473,4431.13404937621
134320095,CCCCCCCCCCCCCCCCCC(=O)OCC(COCCC)O,0.98576015,0,,400.6440000000002,6.578600000000009,55.76000000000001,4,1,28,0,C24H48O4,3.6350339046433753,4315.527661149272
134363842,CCCCCCCCC(CCCCCC)CCOC(=O)CCCCC,0.9812352,0,,354.61900000000014,7.837200000000008,26.3,2,0,25,0,C23H46O2,4.042081833932834,11017.468917028136
134363848,CCCCCCCC(CCCCCCC)CCOC(=O)CCCCC,0.9805796,0,,354.61900000000014,7.837200000000008,26.3,2,0,25,0,C23H46O2,4.042081833932834,11017.468917028136
134371480,CCCCCCCCCCCCCOCC(C)OCCOC,0.98035204,0,,316.52600000000007,5.365500000000004,27.69,3,0,22,0,C19H40O3,3.67872394161933,4772.258296239116
134412824,CC(C)CCCCNCCC(=O)CCC(=O)O,0.9909087,0,Conformer3D_COMPOUND_CID_134412824.sdf,243.34699999999995,2.2263,66.4,3,2,17,0,C13H25NO3,3.7087514360127143,5113.890634863303
134446212,CCC(C)(C(=O)CCCCCOC(C)(C)C)OCCOCCOC(C)(C)C(=O)CCCCCOC(C)(C)C,0.98090017,0,,544.8140000000004,6.872700000000008,80.29,7,0,38,0,C31H60O7,4.030673868123847,10731.832066088273
134452002,CC[C@@]1(CC[C@@H]2[C@H]3CC[C@]4([C@H]([C@@H]3CC=C2C1)CCC4=O)C)O,0.9892571,0,Conformer3D_COMPOUND_CID_134452002.sdf,302.458,4.269300000000005,37.3,2,1,22,4,C20H30O2,3.6358568043222257,4323.712459817339
134476810,CCCCCCCCCCCCCCCCOC(OCCCCCCCCCCCCCCCC)O[C@@H]1CC(OC1COP(=O)(O)OC)N2C=C(C(=O)NC2=O)C,0.9838697,0,,831.1260000000004,11.56051999999999,147.54,10,2,57,2,C44H83N2O10P,3.648670000000003,4453.177437474215
134560092,CCCOC(C)(CCCCC(=O)CCCO)O,0.9898165,0,Conformer3D_COMPOUND_CID_134560092.sdf,246.34699999999992,2.0235000000000003,66.76,4,2,17,0,C13H26O4,3.7612694360582326,5771.244000099707
134564308,C1CCO[C@H](C1)OCCCOCCCO,0.99312407,0,Conformer3D_COMPOUND_CID_134564308.sdf,218.29299999999992,1.3187,47.92,4,1,15,1,C11H22O4,3.6464363211341486,4430.332495301822
134568501,CCCCOC(C)(C)CCOC(C)(C)C(=O)C=C,0.9815598,0,Conformer3D_COMPOUND_CID_134568501.sdf,256.386,3.5221000000000027,35.53,3,0,18,0,C15H28O3,3.6209493391518217,4177.816291952227
